,local_file_path,local_bus_expression,remote_bus_expression,remote_file_path,remote_file_declared_line,local_bus_type,remote_bus_type,local_net_name,remote_net_name,local_bus_shape,remote_bus_shape,change_remote_or_local,line_to_update,file_path,local_file_declared_line,file_to_update,net_to_update
0,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,wire o_outp_abs_50u_to_clkdist,wrealsum o_outp_abs_50u_to_clkdist,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,81,wire,wrealsum,o_outp_abs_50u_to_clkdist,o_outp_abs_50u_to_clkdist,,,local,392,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,392,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,o_outp_abs_50u_to_clkdist
1,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,wire o_outp_abs_50u_to_pll,wrealsum o_outp_abs_50u_to_pll,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,82,wire,wrealsum,o_outp_abs_50u_to_pll,o_outp_abs_50u_to_pll,,,local,394,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,394,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,o_outp_abs_50u_to_pll
2,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,wire tx_dcmon_to_cmp_p,wrealsum i_tx_dcmon_to_cmp_p,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,130,wire,wrealsum,tx_dcmon_to_cmp_p,i_tx_dcmon_to_cmp_p,,,local,376,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,376,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,tx_dcmon_to_cmp_p
4,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,wire tx_dcmon_to_cmp_p,wrealsum otx_tocmp_p,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2tx_top.sv,127,wire,wrealsum,tx_dcmon_to_cmp_p,otx_tocmp_p,,,local,376,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,376,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,tx_dcmon_to_cmp_p
5,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,wire o_outp_abs_50u_to_clkdist,wrealsum id_clkdist_ldo_ibias_from_pmos_50u,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2tx_top.sv,163,wire,wrealsum,o_outp_abs_50u_to_clkdist,id_clkdist_ldo_ibias_from_pmos_50u,,,local,392,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,392,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,o_outp_abs_50u_to_clkdist
6,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,wire o_outp_abs_50u_to_pll,wrealsum id_pll_ldo_ibias_from_pmos_50u,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2tx_top.sv,106,wire,wrealsum,o_outp_abs_50u_to_pll,id_pll_ldo_ibias_from_pmos_50u,,,local,394,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,394,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2top_lane_top.v,o_outp_abs_50u_to_pll
9,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref0_instage_dc_n_300u,wrealsum pr0_dc_bias_n_ref,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2adctop_adc_top.v,145,wire,wrealsum,iref0_instage_dc_n_300u,pr0_dc_bias_n_ref,,,local,240,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,240,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref0_instage_dc_n_300u
10,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref0_instage_dc_p_300u,wrealsum pr0_dc_bias_p_ref,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2adctop_adc_top.v,146,wire,wrealsum,iref0_instage_dc_p_300u,pr0_dc_bias_p_ref,,,local,220,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,220,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref0_instage_dc_p_300u
11,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref1_instage_dc_n_300u,wrealsum pr1_dc_bias_n_ref,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2adctop_adc_top.v,148,wire,wrealsum,iref1_instage_dc_n_300u,pr1_dc_bias_n_ref,,,local,230,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,230,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref1_instage_dc_n_300u
12,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref1_instage_dc_p_300u,wrealsum pr1_dc_bias_p_ref,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2adctop_adc_top.v,149,wire,wrealsum,iref1_instage_dc_p_300u,pr1_dc_bias_p_ref,,,local,236,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,236,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref1_instage_dc_p_300u
13,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref2_instage_dc_n_300u,wrealsum pr2_dc_bias_n_ref,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2adctop_adc_top.v,151,wire,wrealsum,iref2_instage_dc_n_300u,pr2_dc_bias_n_ref,,,local,196,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,196,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref2_instage_dc_n_300u
14,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref2_instage_dc_p_300u,wrealsum pr2_dc_bias_p_ref,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2adctop_adc_top.v,152,wire,wrealsum,iref2_instage_dc_p_300u,pr2_dc_bias_p_ref,,,local,234,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,234,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref2_instage_dc_p_300u
15,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref3_instage_dc_n_300u,wrealsum pr3_dc_bias_n_ref,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2adctop_adc_top.v,154,wire,wrealsum,iref3_instage_dc_n_300u,pr3_dc_bias_n_ref,,,local,222,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,222,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref3_instage_dc_n_300u
16,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref3_instage_dc_p_300u,wrealsum pr3_dc_bias_p_ref,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2adctop_adc_top.v,155,wire,wrealsum,iref3_instage_dc_p_300u,pr3_dc_bias_p_ref,,,local,232,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,232,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref3_instage_dc_p_300u
17,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire pr_dc_odac_in100u,wrealsum pr_dc_odac_in100ua,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2adctop_adc_top.v,156,wire,wrealsum,pr_dc_odac_in100u,pr_dc_odac_in100ua,,,local,224,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,224,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,pr_dc_odac_in100u
18,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref0_instage_dc_n_300u,wrealsum o_iref0_instage_dc_n_300u,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_cur_to_adc_wrap.v,7,wire,wrealsum,iref0_instage_dc_n_300u,o_iref0_instage_dc_n_300u,,,local,240,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,240,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref0_instage_dc_n_300u
19,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref0_instage_dc_p_300u,wrealsum o_iref0_instage_dc_p_300u,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_cur_to_adc_wrap.v,8,wire,wrealsum,iref0_instage_dc_p_300u,o_iref0_instage_dc_p_300u,,,local,220,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,220,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref0_instage_dc_p_300u
20,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref1_instage_dc_n_300u,wrealsum o_iref1_instage_dc_n_300u,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_cur_to_adc_wrap.v,9,wire,wrealsum,iref1_instage_dc_n_300u,o_iref1_instage_dc_n_300u,,,local,230,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,230,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref1_instage_dc_n_300u
21,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref1_instage_dc_p_300u,wrealsum o_iref1_instage_dc_p_300u,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_cur_to_adc_wrap.v,10,wire,wrealsum,iref1_instage_dc_p_300u,o_iref1_instage_dc_p_300u,,,local,236,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,236,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref1_instage_dc_p_300u
22,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref2_instage_dc_n_300u,wrealsum o_iref2_instage_dc_n_300u,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_cur_to_adc_wrap.v,11,wire,wrealsum,iref2_instage_dc_n_300u,o_iref2_instage_dc_n_300u,,,local,196,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,196,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref2_instage_dc_n_300u
23,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref2_instage_dc_p_300u,wrealsum o_iref2_instage_dc_p_300u,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_cur_to_adc_wrap.v,12,wire,wrealsum,iref2_instage_dc_p_300u,o_iref2_instage_dc_p_300u,,,local,234,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,234,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref2_instage_dc_p_300u
24,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref3_instage_dc_n_300u,wrealsum o_iref3_instage_dc_n_300u,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_cur_to_adc_wrap.v,13,wire,wrealsum,iref3_instage_dc_n_300u,o_iref3_instage_dc_n_300u,,,local,222,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,222,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref3_instage_dc_n_300u
25,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire iref3_instage_dc_p_300u,wrealsum o_iref3_instage_dc_p_300u,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_cur_to_adc_wrap.v,14,wire,wrealsum,iref3_instage_dc_p_300u,o_iref3_instage_dc_p_300u,,,local,232,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,232,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,iref3_instage_dc_p_300u
26,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,wire pr_dc_odac_in100u,wrealsum o_pr_dc_odac_in100u,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_cur_to_adc_wrap.v,15,wire,wrealsum,pr_dc_odac_in100u,o_pr_dc_odac_in100u,,,local,224,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,224,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethflctc2rx_top.v,pr_dc_odac_in100u
